Peak Position
1660
2869
4088
5312
6519
7740
8962
10181
11389
12604
13826
15032
16251
17474
18695
19906
21129
22346
23546
24757
25976
27200
28414
29637
30865
32073
33296
34521
35745
36958
38181
39408
40617
41840
43066
44289
45494
46709
47929
49136
50351
51567
52789
53997
55218
56440
57645
58867
60088
61308
62513
63723
64940
66151
67370
68588
69811
71023
72242
73470
74681
75905
77138
78367
79581
80801
82026
83239
84462
85698
86926
88139
89360
90587
91798
93019
94242
95464
96669
97892
99112
100316
101530
102743
103956
105156
106373
107592
108797
110016
111240
112462
113673
114892
116106
117309
118529
119753
120975
122182
123395
124613
125822
127042
128261
129477
130674
131880
133095
134306
135534
136774
138012
139229
140458
141681
142892
144113
145333
146551
147757
148974
150189
151390
152609
153828
155047
156251
157463
158677
159881
161103
162325
163548
164763
165993
167220
168426
169643
170869
172101
173324
174560
175797
177012
178237
179468
180698
181924
183156
184389
185602
186822
188048
189268
190481
191702
192926
194135
195356
196578
197817
199042
200270
201503
202720
203954
205175
206393
207607
208832
210052
211254
212471
213700
214936
216158
217381
218608
219814
221035
222251
223470
224687
225910
227140
228350
229569
230786
231994
233199
234408
235620
236819
238038
239254
240469
241675
242893
244110
245314
246532
247750
248971
250183
251409
252626
253831
255052
256274
257501
258718
259951
261180
262396
263624
264847
266075
267290
268517
269746
270969
272198
273433
274663
275874
277095
278337
279566
280804
282041
283269
284476
285695
286919
288140
289366
290598
291831
293043
294272
295498
296723
297946
299179
300416
301636
302872
304112
305340
306568
307802
309040
310259
311492
312722
313953
315173
316406
317633
318851
320079
321304
322527
323738
324962
326198
327414
328640
329863
331090
332300
333523
334743
335963
337189
338421
339644
340851
342069
343296
344526
345748
346984
348210
349420
350646
351881
353110
354327
355548
356772
357991
359214
360449
361678
362890
364119
365342
366562
367786
369017
370244
371451
372673
373898
375117
376328
377548
378773
379984
381207
382435
383658
384867
386090
387311
388525
389749
390977
392202
393411
394626
395850
397068
398294
399529
400757
401967
403191
404416
405655
406891
408126
409362
410578
411809
413036
414266
415492
416720
417953
419167
420389
421613
422840
424052
425277
426510
427727
428959
430198
431431
432647
433877
435099
436314
437538
438773
440006
441224
442456
443683
444912
446134
447373
448628
449866
451111
452353
453595
454818
456052
457278
458491
459718
460946
462176
463388
464614
465838
467060
468278
469509
470735
471955
473190
474421
475654
476868
478096
479320
480544
481770
483009
484242
485458
486689
487920
489149
490368
491605
492843
494067
495303
496545
497779
498998
500237
501476
502717
503949
505193
506434
507654
508888
510118
511364
512593
513834
515069
516290
517528
518766
519996
521213
522446
523684
524918
526161
527411
528658
529889
531138
532379
533621
534855
536102
537340
538562
539806
541048
542279
543501
544741
545977
547195
548425
549655
550888
552106
553338
554565
555789
557007
558240
559466
560688
561924
563161
564389
565600
566826
568046
569273
570491
571725
572956
574181
575417
576651
577883
579100
580330
581568
582806
584030
585260
586498
587728
588963
590200
591443
592661
593898
595134
596365
597584
598808
600040
601269
602498
603734
604960
606170
607403
608637
609873
611096
612338
613572
614798
616022
617259
618496
619718
620958
622200
623445
624672
625911
627147
628380
629615
630850
632086
633305
634543
635774
637005
638224
639458
640703
641933
643166
644400
645631
646845
648075
649309
650545
651763
652996
654232
655472
656695
657930
659164
660398
661623
662860
664096
665325
666559
667804
669045
670268
671505
672749
673983
675206
676442
677683
678929
680159
681399
682630
683858
685091
686335
687580
688810
690058
691301
692544
693777
695024
696268
697509
698744
699988
701233
702470
703720
704971
706217
707446
708693
709935
711172
712398
713637
714875
716120
717356
718604
719850
721082
722325
723574
724826
726069
727331
728584
729836
731067
732308
733564
734812
736049
737296
738546
739797
741045
742298
743545
744776
746019
747261
748499
749725
750972
752215
753475
754711
755949
757195
758436
759690
760936
762177
763404
764654
765897
767147
768384
769634
770872
772104
773343
774589
775834
777061
778307
779547
780788
782015
783256
784495
785736
786968
788210
789448
790689
791937
793189
794435
795671
796927
798172
799422
800661
801913
803156
804398
805645
806891
808142
809385
810641
811891
813130
814364
815617
816855
818092
819330
820578
821822
823058
824317
825564
826817
828053
829302
830547
831793
833036
834288
835535
836769
838018
839261
840507
841735
842980
844227
845479
846731
847989
849233
850458
851703
852935
854177
855410
856654
857889
859128
860368
861619
862861
864097
865353
866593
867825
869047
870288
871515
872752
873980
875221
876458
877691
878925
880167
881399
882623
883887
885153
886413
887652
888905
890162
891418
892664
893916
895159
896391
897642
898885
900127
901356
902603
903846
905088
906334
907589
908835
910068
911324
912580
913841
915084
916338
917593
918841
920088
921339
922582
923810
925061
926310
927552
928783
930030
931278
932526
933775
935030
936273
937500
938748
939994
941238
942474
943724
944972
946217
947454
948707
949954
951189
952438
953695
954944
956176
957432
958695
959948
961193
962455
963715
964961
966221
967480
968746
969996
971262
972521
973769
975020
976279
977553
978812
980085
981344
982605
983851
985109
986373
987628
988881
990138
991388
992624
993880
995126
996367
997598
998845
1000089
1001335
1002588
1003855
1005107
1006342
1007597
1008843
1010087
1011323
1012574
1013824
1015072
1016334
1017588
1018855
1020097
1021346
1022602
1023851
1025093
1026349
1027599
1028832
1030085
1031340
1032591
1033831
1035089
1036342
1037595
